Jumlah Epoch	Jumlah Batch Size	Jumlah Neuron pada FC	Jumlah Input pada Flatten	Akurasi (%)						
15	32	8	1024	41.25
15	32	16	8	27.5
15	32	16	16	25
15	32	16	32	36.25
15	32	16	64	56.25
15	32	16	128	61.25
15	32	16	256	30
15	32	16	512	55
15	32	16	1024	12.5
15	32	32	8	12.5
15	32	32	16	12.5
15	32	32	32	27.5
15	32	32	64	70
15	32	32	128	50
15	32	32	256	85
15	32	32	512	63.75
15	32	32	1024	90
15	32	64	8	12.5
15	32	64	16	33.75
15	32	64	32	12.5
15	32	64	64	57.5
15	32	64	128	87.5
15	32	64	256	12.5
15	32	64	512	93.75
15	32	64	1024	98.75
Jumlah Epoch	Jumlah Batch Size	Jumlah Neuron pada FC	Jumlah Input pada Flatten	Akurasi (%)
20	2	2	8	12.5
20	2	2	16	12.5
20	2	2	32	26.25
20	2	2	64	12.5
20	2	2	128	26.25
20	2	2	256	12.5
20	2	2	512	57.5
20	2	2	1024	12.5
20	2	4	8	21.25
20	2	4	16	45
20	2	4	32	97.5
20	2	4	64	87.5
20	2	4	128	86.25
20	2	4	256	67.5
20	2	4	512	58.75
20	2	4	1024	90
20	2	8	8	33.75
20	2	8	16	12.5
20	2	8	32	98.75
20	2	8	64	12.5
20	2	8	128	100
20	2	8	256	100
20	2	8	512	100
20	2	8	1024	100
20	2	16	8	32.5
20	2	16	16	80
20	2	16	32	100
20	2	16	64	100
20	2	16	128	100
20	2	16	256	12.5
20	2	16	512	100
20	2	16	1024	100
20	2	32	8	57.5
20	2	32	16	92.5
20	2	32	32	100
20	2	32	64	12.5
20	2	32	128	100
20	2	32	256	100
20	2	32	512	100
20	2	32	1024	12.5
20	2	64	8	43.75
20	2	64	16	92.5
20	2	64	32	100
20	2	64	64	100
20	2	64	128	100
20	2	64	256	100
20	2	64	512	100
20	2	64	1024	100
20	4	2	8	12.5
20	4	2	16	25
20	4	2	32	45
20	4	2	64	45
20	4	2	128	43.75
20	4	2	256	57.5
20	4	2	512	58.75
20	4	2	1024	50
20	4	4	8	25
20	4	4	16	12.5
20	4	4	32	50
20	4	4	64	12.5
20	4	4	128	76.25
20	4	4	256	83.75
20	4	4	512	67.5
20	4	4	1024	97.5
20	4	8	8	12.5
20	4	8	16	23.75
20	4	8	32	12.5
20	4	8	64	100
20	4	8	128	97.5
20	4	8	256	100
20	4	8	512	12.5
20	4	8	1024	96.25
20	4	16	8	12.5
20	4	16	16	71.25
20	4	16	32	97.5
20	4	16	64	100
20	4	16	128	100
20	4	16	256	100
20	4	16	512	100
20	4	16	1024	12.5
20	4	32	8	42.5
20	4	32	16	85
20	4	32	32	100
20	4	32	64	98.75
20	4	32	128	98.75
20	4	32	256	100
20	4	32	512	100
20	4	32	1024	12.5
20	4	64	8	12.5
20	4	64	16	88.75
20	4	64	32	100
20	4	64	64	100
20	4	64	128	100
20	4	64	256	100
20	4	64	512	12.5
20	4	64	1024	100
20	8	2	8	12.5
20	8	2	16	12.5
20	8	2	32	12.5
20	8	2	64	12.5
20	8	2	128	27.5
20	8	2	256	37.5
20	8	2	512	37.5
20	8	2	1024	12.5
20	8	4	8	12.5
20	8	4	16	5
20	8	4	32	37.5
20	8	4	64	43.75
20	8	4	128	75
20	8	4	256	12.5
20	8	4	512	70
20	8	4	1024	55
20	8	8	8	31.25
20	8	8	16	12.5
20	8	8	32	56.25
20	8	8	64	91.25
20	8	8	128	12.5
20	8	8	256	12.5
20	8	8	512	91.25
20	8	8	1024	100
20	8	16	8	32.5
20	8	16	16	12.5
20	8	16	32	85
20	8	16	64	100
20	8	16	128	12.5
20	8	16	256	90
20	8	16	512	100
20	8	16	1024	95
20	8	32	8	33.75
20	8	32	16	57.5
20	8	32	32	100
20	8	32	64	100
20	8	32	128	100
20	8	32	256	98.75
20	8	32	512	98.75
20	8	32	1024	97.5
20	8	64	8	35
20	8	64	16	12.5
20	8	64	32	100
20	8	64	64	100
20	8	64	128	100
20	8	64	256	12.5
20	8	64	512	100
20	8	64	1024	12.5
20	16	2	8	0
20	16	2	16	12.5
20	16	2	32	12.5
20	16	2	64	38.75
20	16	2	128	12.5
20	16	2	256	12.5
20	16	2	512	13.75
20	16	2	1024	12.5
20	16	4	8	20
20	16	4	16	25
20	16	4	32	36.25
20	16	4	64	40
20	16	4	128	18.75
20	16	4	256	13.75
20	16	4	512	48.75
20	16	4	1024	22.5
20	16	8	8	25
20	16	8	16	21.25
20	16	8	32	65
20	16	8	64	35
20	16	8	128	65
20	16	8	256	30
20	16	8	512	33.75
20	16	8	1024	27.5
20	16	16	8	28.75
20	16	16	16	26.25
20	16	16	32	71.25
20	16	16	64	81.25
20	16	16	128	83.75
20	16	16	256	86.25
20	16	16	512	81.25
20	16	16	1024	80
20	16	32	8	31.25
20	16	32	16	36.25
20	16	32	32	81.25
20	16	32	64	97.5
20	16	32	128	100
20	16	32	256	76.25
20	16	32	512	97.5
20	16	32	1024	97.5
20	16	64	8	12.5
20	16	64	16	27.5
20	16	64	32	95
20	16	64	64	100
20	16	64	128	100
20	16	64	256	100
20	16	64	512	100
20	16	64	1024	98.75
20	32	2	8	12.5
20	32	2	16	12.5
20	32	2	32	25
20	32	2	64	17.5
20	32	2	128	12.5
20	32	2	256	12.5
20	32	2	512	21.25
20	32	2	1024	12.5
20	32	4	8	12.5
20	32	4	16	5
20	32	4	32	12.5
20	32	4	64	12.5
20	32	4	128	13.75
20	32	4	256	12.5
20	32	4	512	21.25
20	32	4	1024	23.75
20	32	8	8	12.5
20	32	8	16	13.75
20	32	8	32	15
20	32	8	64	26.25
20	32	8	128	28.75
20	32	8	256	12.5
20	32	8	512	50
20	32	8	1024	55
20	32	16	8	23.75
20	32	16	16	31.25
20	32	16	32	61.25
20	32	16	64	12.5
20	32	16	128	27.5
20	32	16	256	12.5
